CourseID,AssignedTA-1,AssignedTA-2,AssignedTA-3,AssignedTA-4,AssignedTA-5,AssignedTA-6,AssignedTA-7,AssignedTA-8,AssignedTA-9,AssignedTA-10,AssignedTA-11,AssignedTA-12,AssignedTA-13,AssignedTA-14,AssignedTA-15,AssignedTA-16
CS201,21111056,21111008,190866,190828,190549,190527,190432,190337,190327,190322,,,,,,
CS300,21111404,21111024,20111278,20111274,20111264,19211270,,,,,,,,,,
CS330,21111061,21111058,21111041,21111036,21111032,21111023,21111017,21111006,,,,,,,,
CS340,21211263,21111414,21111267,21111263,21111066,20211262,,,,,,,,,,
CS345,21111039,21111038,21111019,21111005,21111001,,,,,,,,,,,
CS422,21111271,19211271,19211263,,,,,,,,,,,,,
CS498,,,,,,,,,,,,,,,,
CS610,21111409,190943,190941,190902,21111272,20111271,,,,,,,,,,
CS637,20111282,19111277,19111274,18211262,18211261,18111275,,,,,,,,,,
CS642,18111272,,,,,,,,,,,,,,,
CS647,20111275,19211274,19211266,19211264,19211262,19211261,19111261,,,,,,,,,
CS656,21111031,18807259,20111262,19111275,,,,,,,,,,,,
CS666,21111027,18807615,,,,,,,,,,,,,,
CS667A,21111407,21111028,190164,190163,190128,190106,,,,,,,,,,
CS682,20111265,19211273,19111269,19111265,19111262,,,,,,,,,,,
CS690,21111014,21111011,190200,190186,190175,,,,,,,,,,,
CS698F,21111270,21111265,21111262,,,,,,,,,,,,,
CS698S,21111050,190593,190503,190309,,,,,,,,,,,,
CS771,21111413,21111408,21111403,21111402,21111059,21111053,21111049,21111045,21111040,21111033,21111030,21111020,21111012,21111007,21111273,
CS772,21211402,20111272,20111268,19211265,,,,,,,,,,,,
CS798B,21111013,20211261,18111274,18111273,18111271,18111269,18111265,18111264,18111263,18111262,21111268,17211261,,,,
CS798C,21111009,21111261,,,,,,,,,,,,,,
DPGC TA,21111063,21111062,21111048,21111044,,,,,,,,,,,,
ESC101/2,21111410,21111405,21111069,21111060,21111052,21111051,21111037,21111035,21111029,21111025,21111022,21111018,21111016,21111004,21111003,21111002
ESO207,21111269,21111067,21111065,21111064,21111054,21111047,21111046,21111043,,,,,,,,
LAB TA,190306,190257,,,,,,,,,,,,,,
