StudentID,Assigned Course
17211261,CS798B
18111262,CS771
18111263,CS422
18111264,CS772
18111265,CS330
18111269,CS642
18111271,CS772
18111272,CS682
18111273,CS771
18111274,CS698S
18111275,CS345
18211261,CS690
18211262,CS771
18807259,CS201
18807615,CS201
190106,CS647
190128,CS201
190163,CS201
190164,CS682
190175,CS647
190186,CS300
190200,CS300
190257,CS647
190306,CS647
190309,CS610
190322,CS610
190327,CS682
190337,CS682
190432,CS610
190503,CS610
190527,CS498
190549,CS498
190593,CS498
190828,CS498
190866,CS498
190902,CS498
190941,CS498
190943,CS498
19111261,CS637
19111262,CS772
19111265,CS798B
19111269,CS656
19111274,CS300
19111275,CS330
19111277,CS422
19211261,DPGC TA
19211262,CS330
19211263,CS345
19211264,CS300
19211265,CS637
19211266,CS647
19211270,CS637
19211271,CS330
19211273,CS690
19211274,CS647
20111262,CS690
20111264,DPGC TA
20111265,CS201
20111268,CS690
20111271,CS667A
20111272,CS798B
20111274,DPGC TA
20111275,CS201
20111278,CS798C
20111282,CS666
20211261,CS772
20211262,CS647
21111001,CS300
21111002,LAB TA
21111003,CS610
21111004,CS798B
21111005,CS201
21111006,CS610
21111007,CS201
21111008,CS667A
21111009,CS682
21111011,CS690
21111012,CS798B
21111013,CS798B
21111014,CS771
21111016,CS201
21111017,ESC101/2
21111018,ESC101/2
21111019,CS771
21111020,CS340
21111022,ESC101/2
21111023,ESC101/2
21111024,CS300
21111025,ESC101/2
21111027,CS666
21111028,CS771
21111029,ESC101/2
21111030,ESC101/2
21111031,CS656
21111032,CS771
21111033,ESC101/2
21111035,ESC101/2
21111036,CS340
21111037,ESC101/2
21111038,CS771
21111039,CS201
21111040,CS798B
21111041,CS798B
21111043,CS771
21111044,CS340
21111045,CS345
21111046,CS345
21111047,CS345
21111048,CS771
21111049,ESO207
21111050,ESO207
21111051,ESC101/2
21111052,ESC101/2
21111053,ESO207
21111054,ESO207
21111056,CS771
21111058,ESO207
21111059,ESO207
21111060,ESC101/2
21111061,CS330
21111062,CS330
21111063,DPGC TA
21111064,ESO207
21111065,ESO207
21111066,CS656
21111067,CS698F
21111069,ESC101/2
21111261,CS798C
21111262,CS667A
21111263,CS698S
21111265,CS698S
21111267,CS340
21111268,CS798B
21111269,CS667A
21111270,CS667A
21111271,CS330
21111272,CS422
21111273,CS698S
21111402,CS330
21111403,CS771
21111404,CS771
21111405,ESC101/2
21111407,CS667A
21111408,CS771
21111409,CS698F
21111410,ESC101/2
21111413,CS771
21111414,CS340
21211263,CS340
21211402,CS698F
