CourseID,AssignedTA-1,AssignedTA-2,AssignedTA-3,AssignedTA-4,AssignedTA-5,AssignedTA-6,AssignedTA-7,AssignedTA-8,AssignedTA-9,AssignedTA-10,AssignedTA-11,AssignedTA-12,AssignedTA-13,AssignedTA-14,AssignedTA-15,AssignedTA-16
CS201,18807259,21111261,20111265,20111275,18807615,21111039,21111053,21111056,21111061,21111067,,,,,,
CS300,19111274,21111022,21111024,21111037,21111046,21111404,,,,,,,,,,
CS330,18111265,19111275,19211271,21111002,21111017,21111036,21111058,21111403,,,,,,,,
CS340,20111264,21111035,21111054,21111267,21111414,21211263,,,,,,,,,,
CS345,19211263,18111275,21111001,21111005,21111065,,,,,,,,,,,
CS422,19111277,18111263,21111271,,,,,,,,,,,,,
CS498,190828,190902,190941,,,,,,,,,,,,,
CS610,21111272,21111003,21111006,21111018,21111405,21111409,,,,,,,,,,
CS637,19211265,19211270,19111261,21111023,21111047,21111050,,,,,,,,,,
CS642,21111025,,,,,,,,,,,,,,,
CS647,20211262,19211262,19211266,19211274,21111016,21111045,21111062,,,,,,,,,
CS656,21111066,19111269,21111031,21111049,,,,,,,,,,,,
CS666,21111265,21111052,,,,,,,,,,,,,,
CS667A,21111008,21111269,21111262,21111270,21111402,21111407,,,,,,,,,,
CS682,18111272,18111269,,,,,,,,,,,,,,
CS690,20111268,20111262,18211261,19211273,21111011,,,,,,,,,,,
CS698F,20111271,21111027,21111273,,,,,,,,,,,,,
CS698S,18111274,21111263,20111282,21111051,,,,,,,,,,,,
CS771,21111028,21111038,21111043,21111032,21111014,21111019,18111262,18111273,18211262,21111007,21111012,21111020,21111030,21111033,21111413,
CS772,18111271,18111264,20211261,21211402,,,,,,,,,,,,
CS798B,21111268,17211261,20111272,19111265,21111004,21111013,21111040,21111041,21111048,21111059,21111063,21111069,,,,
CS798C,20111278,21111009,,,,,,,,,,,,,,
DPGC TA,19211261,20111274,21111044,21111064,,,,,,,,,,,,
ESC101/2,190106,190175,190186,190200,190309,190327,190337,190432,190503,190527,190549,190866,190943,19111262,19211264,21111410
ESO207,190128,190163,190164,190257,190306,190322,190593,21111408,,,,,,,,
LAB TA,21111029,21111060,,,,,,,,,,,,,,
